"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Me gusta","Veces que se compartió",Seguimientos,Reproducciones,Comentarios,"Veces que se guardó"
18061957822595436,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","¡Desde INFITULUÁ trabajamos día a día para estar más cerca de ti!

Por eso, te invitamos a que conozcas nuestros diferentes métodos de atención para brindarte toda la asesoría que necesitas 🥳

Continuamos construyendo una Tuluá #ParaSerFelices",0,"09/10/2024 11:25",https://www.instagram.com/p/C_vyFKjuwfK/,"Imagen de Instagram",,Total,333,241,8,1,,,0,0
18061459438644548,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","🚀¡Tu negocio debe ir en el corazón de Tuluá! ❤️
Contamos con locales comerciales diseñados estratégicamente en la Central de Transporte para la prosperidad del comercio 💡
¿Qué esperas para ver los frutos y prosperidad de tu emprendimiento? 📲 Contacta con nosotros y empieza una oportunidad ÚNICA de negocio 💪",59,"09/02/2024 14:50",https://www.instagram.com/reel/C_bjHJYIOMH/,"Reel de Instagram",,Total,662,507,18,5,,819,0,0
17859405795251615,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","Con un esfuerzo constante, hemos avanzado significativamente en nuestro objetivo de entregar, en el menor tiempo posible, los lotes de vivienda de la Urbanización Terranova a sus propietarios.

Se tiene proyectado entrega la primera etapa antes de finalizar el año.",57,"09/26/2024 08:43",https://www.instagram.com/reel/DAYsJpwOm6B/,"Reel de Instagram",,Total,653,495,57,4,1,958,0,3
17948365142848048,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","¡Tu éxito comercial, empieza AQUÍ! ✅

Conoce todas las ofertas comerciales que Bicentenario Plaza tiene para ofrecerte, con más de 50 locales comerciales listos para impulsar tu emprendimiento a un siguente nivel.

¿Qué esperas para acercarte y solicitar información? ¡Te esperamos!",48,"09/20/2024 10:01",https://www.instagram.com/reel/DAJYWFxhVdD/,"Reel de Instagram",,Total,550,359,11,2,1,671,0,0
18008645240400462,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","❤️ ¿No sabes qué dar en estas fechas? ¡Regala desde el comercio tulueño! 🎁 Conoce la variedad de productos que tenemos para ofrecerte en La Galería, el Centro Comercial Pabellón y Bicentenario Plaza. ¿Qué estás esperando para conseguir productos de buena calidad a un excelente precio? ¡Te esperamos!",32,"09/18/2024 10:01",https://www.instagram.com/reel/DAEOzRAMlJN/,"Reel de Instagram",,Total,1643,1349,36,4,2,1997,0,1
18013843901335089,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","¡Conoce estas excelentes oportunidades con la Ciudadela Regional del Comercio!

Contamos con una gran ubicación y disponibilidad para todas las personas.

¡Contáctanos! Para brindarte la información que necesitas.",45,"09/17/2024 11:00",https://www.instagram.com/reel/DABw0FaqRgE/,"Reel de Instagram",,Total,1098,770,34,4,1,1363,0,0
